Partner,number,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Netherlands,528,-0.022108683,0.278891504,0.157573637,0.105916688,-0.022910676,0.040631887,0.082302078,0.074324756,0.23579153,0.142507095
Netherlands Antilles,528,1.613301036,-0.625023557,1.495256277,-0.316566288,1.665361169,0.00542634,-0.453602805,-0.077005286,-0.685264074,777
Curacao,531,999,999,999,999,999,999,999,999,999,0.803722651
Aruba,533,-0.135146624,-0.748391167,1.093938816,0.16683083,0.131609578,-0.133956622,0.656124187,0.51873525,-0.123801392,-0.223202879
Sint Maarten,534,999,999,999,999,999,999,999,999,999,0.919468102
New Caledonia,540,-0.590811058,0.034659,3.819697437,14.96809942,1.529683727,-0.783582001,2.006070842,0.811930446,-0.622288485,-0.212589843
Vanuatu,548,999,1.980538872,777,999,999,999,777,999,999,777
New Zealand,554,0.312115934,0.530864306,0.147972366,-0.112445589,-0.013429045,0.051152205,-0.178078532,0.092572771,0.345507993,-0.117987457
Nicaragua,558,-0.521408756,1.148313005,1.923471246,-0.429379096,0.187636657,0.240249506,0.223759433,0.195577083,-0.031059914,-0.251103162
Niger,562,-0.702544108,10.50361824,-0.179549156,1.044975364,-0.959541246,5.698498599,2.62981168,-0.907508354,-0.121993292,2.163986514
Nigeria,566,2.005991867,-0.578709521,0.15573591,1.14020569,1.078551838,0.625456994,-0.025640074,0.677267431,0.057323117,-0.061923584
Niue,570,999,999,17.6393758,777,999,999,999,999,999,999
Norfolk Island,574,999,999,999,999,12.53512993,777,999,999,999,999
Norway,578,0.334927542,-0.056673513,-0.089915585,0.426267097,1.120215364,1.105303269,-0.567560555,0.12027873,-0.003374332,0.391890604
Micronesia,583,777,999,0.486563789,3.769117186,-0.504386171,2.787581637,0.833320838,-0.801299859,0.892913494,2.148827601
Marshall Islands,584,-0.833973675,8.484893936,-0.911896263,11.90410256,3.565045901,-0.461768822,0.014645764,0.4921153,-0.686497603,-0.061356279
Palau,585,-0.256060606,2.164909548,777,999,999,999,-0.31919519,-0.799356956,-0.358687301,3.550231046
Pakistan,586,1.128976161,-0.392843796,0.753487767,-0.40195121,0.6494081,0.236963274,-0.133155651,0.843867371,-0.498851445,1.005857885
Panama,591,0.393872887,-0.19484565,0.934618287,0.13418224,0.254497075,0.524871554,-0.1447085,0.447332859,0.060410831,0.072553399
Papua New Guinea,598,999,16.83432658,0.068355276,0.998010735,0.295743868,0.723668505,-0.002172834,0.20444392,1.48792994,-0.091944948
Paraguay,600,5.557147487,0.888016635,0.438453323,-0.072141848,0.258918529,-0.258106714,0.003111653,0.203221722,1.700569914,-0.615127343
Peru,604,-0.201932725,0.061788981,0.275939549,0.218030614,0.227501369,1.312933866,-0.368425851,0.205350287,0.442346777,-0.060576247
Philippines,608,-0.319063182,0.055175654,-0.096316481,0.2317761,0.174489469,0.149688213,0.061645337,0.366443067,0.468917719,-0.174816975
Pitcairn Islands,612,999,999,999,999,777,999,999,999,999,999
Poland,616,-0.0911918,0.695103157,0.231403691,0.048513323,0.393041317,0.031416896,-0.234203212,0.084908806,0.242909973,-0.117895604
Portugal,620,2.37236823,0.375429362,0.251722642,0.232425517,0.669498817,-0.439022072,-0.384978655,0.364932887,1.512126843,0.033886741
Guinea-Bissau,624,999,999,999,999,999,999,999,2.292727108,777,999
Timor-Leste,626,999,999,-0.137389942,777,999,777,999,999,777,999
Qatar,634,0.153984618,-0.411477978,0.602113025,1.04151848,2.343499869,-0.335682424,0.327557862,0.429932605,-0.557270022,0.312265809
Reunion,638,-0.636400682,777,999,-0.816203683,777,999,777,999,1.451834102,-0.277377499
Romania,642,0.376684717,-0.447842415,-0.031215782,0.110897458,0.183662206,1.288753927,-0.340034202,-0.052021232,1.16782058,-0.416447483
Russia,643,2.593428003,-0.468429972,0.675250658,0.309308886,1.835246925,0.245945987,-0.745315883,1.265037856,0.756370642,0.255339339
Rwanda,646,-0.563419418,56.3347061,-0.076635258,-0.837396132,-0.570521463,2.209721519,1.027700656,-0.190633266,-0.231035411,2.9461
St Helena,654,999,999,999,777,999,999,999,777,999,777
St Kitts and Nevis,659,0.427939335,2.397384678,-0.241278036,-0.479957359,1.910329287,-0.375638778,0.401403323,1.895204385,0.086974783,-0.642656164
Anguilla,660,2.370378332,0.890362906,0.784855539,0.298335266,-0.583656473,3.461533082,-0.62329848,-0.590056942,-0.046915711,-0.158450642
St Lucia,662,-0.28826512,11.18973426,-0.847590817,-0.16854258,2.705618872,0.278362008,-0.325247155,-0.149189049,0.701628744,0.414761891
St Pierre and Miquelon,666,999,999,999,999,999,999,999,999,999,999
St Vincent and the Grenadines,670,2.319118854,-0.361923738,-0.247738823,-0.464760105,19.53152912,0.300931546,-0.086223641,-0.420945832,-0.307052167,2.874658671
San Marino,674,999,999,999,777,999,777,999,15.98228619,-0.567107258,-0.876623621
Sao Tome and Principe,678,999,999,999,15.2665625,777,999,999,999,999,777
Saudi Arabia,682,-0.355822415,0.17993249,0.100163897,0.038628182,0.955072202,0.413537689,0.045865626,0.283886551,-0.028853313,0.668863703
Senegal,686,0.886573451,-0.402863786,-0.145493492,2.423215565,1.132914965,0.568254738,0.297122553,-0.504165431,-0.84808044,1.513212923
Serbia,688,999,999,999,999,999,0.267631765,-0.770977605,2.942212826,-0.662436683,19.45063006
Serbia and Montenegro,688,2.064798464,-0.01886111,0.562550932,0.62250064,777,999,999,999,999,999
Seychelles,690,0.398922906,0.435855105,2.444756666,-0.337103626,-0.440594833,-0.882413988,2.406321659,-0.284960844,-0.547865783,0.404095635
Sierra Leone,694,0.131100888,-0.467083393,1.490172336,-0.10929104,0.941293571,-0.288683104,1.201931217,-0.329487296,1.204260591,1.404468517
Singapore,702,-0.090038197,0.073542885,-0.028455516,-0.081302041,0.598712441,0.014919623,-0.111979054,-0.179703287,-0.099127399,0.104016044
Slovakia,703,3.996825495,-0.347812202,-0.460682865,0.552424702,0.179516006,-0.299544262,-0.422085019,0.369012969,-0.197425065,0.67244219
Vietnam,704,0.137252459,-0.349459626,0.301452412,0.511708257,1.662846895,0.091853415,0.140668416,0.21394627,-0.036058807,0.067042909
Slovenia,705,-0.136120867,-0.118189476,1.659797982,-0.310099272,0.173953594,0.710235798,0.097512813,-0.278326375,0.638635923,-0.730171129
Somalia,706,999,999,999,777,999,-0.120023081,3.521092896,777,999,999
South Africa,710,0.266516584,0.123140658,0.450504933,0.123095648,0.300520282,0.12876666,0.124030018,-0.125265501,0.664317293,0.002414583
Zimbabwe,716,8.464769133,0.172322538,-0.808116335,0.605448442,1.439351603,-0.14133131,0.565621853,0.702718106,3.166271201,-0.974820015
Spain,724,0.558047833,0.468267797,-0.409915774,-0.153017012,1.273205963,0.33241042,0.096822029,1.055416225,0.016711282,-0.137658196
South Sudan,728,999,999,999,999,999,999,999,999,999,246.3684211
