id,Country,2005,2006,2007,2008,2009,2010,2011,2012
686,Senegal,445329,1368586,1071229,1736253,1576887,2131050,1546677,1015458
688,Serbia,0,0,2001882,4855646,3393468,1049694,2616764,2777541
688,Serbia and Montenegro,2369536,3524375,0,0,0,0,0,0
690,Seychelles,444467,328262,89916,380130,184200,420831,278543,274889
694,Sierra Leone,634878,294035,156937,666548,681495,588563,3404482,391658
702,Singapore,200592392,231652213,211183711,238835756,267881058,251690646,235082729,329856506
703,Slovakia,3592984,3810934,5426482,9554297,5568715,3987730,7918782,8329387
704,Viet Nam,15646756,23421814,32756244,29506419,35129954,50821184,58195338,59279975
705,Slovenia,5569376,15164968,12010727,12885141,2821589,2133862,3028929,3043772
706,Somalia,57671,0,29200,5494596,448023,0,40200,817074
710,South Africa,83876342,101247760,140730911,144162062,149697112,157245730,226279556,229255759
716,Zimbabwe,3083710,494069,3388364,165833,213377,975749,2210666,310742
724,Spain,134901851,129966454,214212008,238963648,102035855,130655292,147796530,79192555
728,South Sudan,0,0,0,0,0,0,0,29311
729,Sudan,3347327,327343,5392030,28544356,3585459,159563,4739,0
740,Suriname,280385,346354,486967,1221406,1925536,2357015,2646508,3026709
744,Svalbard and Jan Mayen Island,0,0,0,0,0,0,0,0
748,Swaziland,21306,26694,33570,25068,173043,229289,17640,7638
752,Sweden,104476772,144920367,142455604,137394055,107225675,115389316,149885248,116514053
756,Switzerland,56749877,47903112,58956777,55100557,62891918,53383813,65320831,73545122
760,Syrian Arab Republic,827482,7223536,137960,2763737,354187,2974974,910030,296605
762,Tajikistan,67343,1613706,17927,9927,16443,153058,8460,8771
764,Thailand,66080161,75905124,187886080,247963714,207866873,228903892,230215150,183884943
768,Togo,33160,84105,1037744,102639,28500,290094,164191,158431
772,Tokelau Islands,320587,383461,376311,212328,41618,65407,160678,944908
776,Tonga,0,0,5953,0,0,16261,0,28800
780,Trinidad and Tobago,13084372,25151100,13340035,22609846,16892924,11425700,12759511,13722240
784,United Arab Emirates,86589599,121391659,204487164,262734218,172197963,106260114,167604812,305205819
788,Tunisia,7830053,20573691,35398114,4824111,8419924,45894475,17708231,9650598
792,Turkey,52885457,51460120,66552919,73194591,67216730,97538498,79536294,97411486
795,Turkmenistan,25304144,20665635,25786,6063804,31477883,1259526,513133,162215
796,Turks and Caicos Islands,674113,312098,107552,236073,2297599,611151,140018,247765
798,Tuvalu,0,0,0,0,54434,0,0,0
800,Uganda,1253354,1490867,2856584,1539726,788626,742463,326874,2572856
804,Ukraine,10029471,25625038,63644060,90321149,23823892,27655277,52597672,54255395
807,Macedonia,333757,454677,349370,243593,820010,232966,1099112,226117
818,Egypt,23464103,21748560,39820249,78288738,46647911,72542347,57697773,42620038
826,United Kingdom,643893348,686409866,722752694,683094403,531476137,615436206,624073474,614788124
834,Tanzania; United Republic of,1928422,1885051,4115481,6608398,2275912,2060186,1387892,1615844
854,Burkina Faso,445274,0,4240,555537,997908,11112,470848,1361352
858,Uruguay,3457226,3106195,5560960,7567660,12430662,10928862,20979123,20855398
860,Uzbekistan,351037,153105,144530,3186216,12576124,11790438,980748,1777015
862,Venezuela,53982733,132946593,162123922,92392971,46638566,53700953,85772807,101217302
876,Wallis and Futuna,0,0,0,10000,13056,0,57715,0
882,Samoa,0,0,0,0,0,730400,2880,5375
887,Yemen,1790110,2959422,4349072,4815305,2880108,1988886,2006442,208823
894,Zambia,161018,646550,1128156,575244,704019,1551231,1319444,774716
