Partner,number,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Lebanon,422,0.930473077,0.579649924,0.061779323,-0.14029965,0.635175345,1.947198825,-0.147998819,-0.282676769,-0.517530149,0.640908736
Lesotho,426,999,999,999,999,999,999,-0.976359927,777,999,777
Latvia,428,-0.651843593,-0.558611649,5.270598667,-0.160007707,0.129500869,-0.586559353,0.410476035,0.337036706,0.198439683,0.094373329
Liberia,430,-0.442266578,1.126590885,0.197223028,-0.231598068,0.366462728,0.22558475,-0.179423473,0.349018334,0.929178911,-0.395801336
Libya,434,999,999,999,28.97517724,3.200684797,-0.699626177,1.407394037,-0.848880438,-0.805424234,10.33844856
Liechtenstein,438,-0.834474835,-0.958264088,35.68956902,1.471284474,-0.49075093,-0.09951403,-0.741819425,-0.730777063,4.091311865,1.827093282
Lithuania,440,-0.516650769,-0.34921769,0.892865363,0.482346231,2.034673,-0.271980527,-0.190948123,-0.224513189,1.059365217,0.361106961
Luxembourg,442,-0.023456361,-0.18577491,-0.56865996,-0.175421739,2.885546543,0.818529441,-0.354521394,-0.005231657,0.674121973,0.16231702
Macau,446,-0.325152287,0.220770695,1.209641858,1.667788175,1.487740688,-0.303082418,-0.801403541,3.248441816,0.561629954,-0.199220092
Madagascar,450,777,999,0.281442181,-0.535222479,0.803429404,5.332485509,-0.270461989,-0.242521946,1.091914833,0.154808664
Malawi,454,3.614203108,777,999,999,3.711989994,-0.739780824,-0.526046778,-0.703067742,1.912474534,0.011353547
Malaysia,458,-0.187692139,-0.050652806,-0.275306072,-0.207930575,0.128195658,0.378884265,-0.036993524,-0.062700587,-0.128409427,0.283304131
Maldives,462,-0.564803137,0.775679775,0.721382124,13.2620141,-0.540816708,-0.370434462,-0.696513489,0.076451785,1.509120405,-0.410512612
Mali,466,-0.853133224,2.086297639,777,999,11.75201673,-0.817326992,777,999,13.11363636,777
Malta,470,-0.21332663,0.32018568,-0.697639113,0.423456131,0.626483081,4.104054378,-0.769505774,0.534897092,-0.434114009,0.438591961
Martinique,474,999,2.574004971,-0.801182178,-0.938736048,10.23182254,-0.849559896,1.036831442,2.762696692,0.282499855,1.166645368
Mauritania,478,11.80393939,0.035512271,0.941353263,-0.211175993,0.352862164,-0.220962751,-0.800756192,3.042146411,0.221177008,-0.362185394
Mauritius,480,2.981375784,0.547177503,-0.817760046,9.828516006,-0.876342411,0.979125052,0.156372184,4.909959072,-0.656868263,-0.534411794
Mexico,484,-0.052552762,0.041236733,0.011322642,0.10339464,0.118178446,0.232037814,-0.187094455,0.423777874,0.20749269,0.16669251
Monaco,492,-0.98499985,7.723466667,-0.091905359,-0.553649875,-0.100079189,6.909239472,-0.940644966,6.645334047,-0.644904821,-0.505268695
Mongolia,496,1.239097617,-0.611847421,1.178041722,-0.470983688,0.830932536,1.742807217,-0.683622009,2.416972486,1.106053826,51.17040959
Moldova,498,0.25003141,0.039764628,3.756608317,-0.889817341,-0.690794769,2.776693238,-0.759928783,-0.642344498,32.30936455,-0.474110146
Montenegro,499,999,999,999,999,999,2.106902273,0.394936263,-0.376470104,-0.30613215,0.055391812
Montserrat,500,999,999,3.670584564,0.266890854,-0.98139476,0.408163265,-0.070853462,3.358463316,777,999
Morocco,504,0.391632159,0.068260397,-0.340938784,0.595574377,0.744657905,-0.150480903,-0.186932322,0.866282254,-0.016089872,0.403898795
