Partner,number,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Timor-Leste,626,999,999,30.19966387,-0.990760512,16.06180037,-0.340768989,777,999,999,1.90237467
Qatar,634,0.931519612,0.383945699,0.330199082,0.741107186,0.717542979,-0.357632566,-0.036025924,0.221776785,0.51612746,0.151926741
Reunion,638,999,-0.581273408,777,999,999,9.568805794,777,999,3.625446505,-0.861765896
Romania,642,1.079250907,1.097265407,0.38159829,-0.324393176,1.6805055,0.9344657,-0.647227454,-0.387199118,0.352491169,-0.365200611
Russia,643,0.216358871,0.147097171,0.577294853,0.503530074,5.679896393,-0.684370289,-0.456781114,0.796859082,0.056390576,0.600858789
Rwanda,646,-0.648464964,-0.905166667,11.14389279,-0.518804609,5.703458647,-0.346409664,-0.549754168,-0.903378881,22.66193294,-0.846706567
St Helena,654,1.441724183,777,999,999,999,999,777,999,-0.505838048,-0.034937537
St Kitts and Nevis,659,-0.749448356,1.568777697,-0.36708623,0.451365264,-0.23248743,0.583448451,-0.26515319,0.558235177,-0.132091426,-0.791381024
Anguilla,660,0.447368421,-0.657727273,35.84727756,0.801376775,-0.898097277,0.569700778,0.286748887,-0.59523879,0.720766589,0.460886799
St Lucia,662,-0.808000267,0.254044394,0.124231952,-0.587051349,2.544353035,-0.156573997,0.739581211,-0.564384,0.757042466,0.218692044
St Pierre and Miquelon,666,999,999,999,999,999,999,999,999,999,999
St Vincent and the Grenadines,670,-0.58282133,-0.304111915,2.734684135,-0.750972873,4.571061937,0.771659347,-0.813158366,1.190134529,-0.312660623,0.577533076
San Marino,674,999,999,1.575921909,-0.592105263,0.548387097,1.404916667,-0.944280814,-0.174440299,10.55141243,-0.28598911
Sao Tome and Principe,678,777,999,999,999,999,-0.92688167,11.48930054,-0.682641162,777,999
Saudi Arabia,682,0.463504614,-0.023696708,0.415434731,0.074299535,-0.040494669,0.31564766,0.48971099,-0.15499834,0.052342446,0.073804592
Senegal,686,-0.717178812,-0.803522321,0.880757085,0.431959122,0.698635574,-0.739764211,0.36449514,0.890666752,-0.205173314,-0.213755163
Serbia,688,999,999,999,999,999,0.662622609,-0.321814463,-0.231946892,0.166121184,-0.15246256
Serbia and Montenegro,688,1.527282706,1.335339433,-0.68104477,-0.337468075,777,999,999,999,999,999
Seychelles,690,7.435851102,-0.04771289,-0.466143524,-0.304513224,777,999,-0.833257616,1.692773939,2.166721656,-0.318219705
Sierra Leone,694,1.595748132,-0.936665479,23.03220861,-0.878416025,3.763811896,-0.732151922,6.460018236,-0.835868276,0.205876255,-0.021555868
Singapore,702,-0.016449511,0.118985342,0.048167483,0.269370458,-0.052467121,0.137234795,0.007168661,0.281612488,0.096079036,-0.11530365
Slovakia,703,0.015899972,3.240123441,0.413862804,-0.336575964,0.259555548,4.902865718,-0.915404575,0.147116352,0.35575681,-0.351285758
Vietnam,704,0.141666477,0.084415072,0.501894496,0.939273477,0.549922317,0.800553734,0.081595115,0.067040379,0.502128303,-0.309919236
Slovenia,705,0.066626141,-0.265511023,-0.051660738,0.560760742,1.277889726,-0.374937799,-0.55957736,1.149969344,-0.195815139,-0.127272909
Somalia,706,0.136533498,3.544674433,-0.75640874,0.317148286,777,999,-0.995440895,-0.841187832,0.444207966,0.599263158
South Africa,710,0.105647392,0.474437043,0.277458314,0.05662231,-0.033897547,0.038832964,-0.198933878,0.102530224,0.2866482,0.156857262
Zimbabwe,716,2.056066203,-0.279996648,2.102800475,-0.666928424,2.656173116,-0.135401314,-0.493558677,3.209174166,-0.268268921,0.47032399
Spain,724,0.278044509,0.260139181,0.139122522,-0.151777178,0.394640628,-0.284639777,-0.485003859,0.448470838,-0.102045325,-0.399619003
South Sudan,728,999,999,999,999,999,999,999,999,999,999
Sudan,729,999,999,-0.791684952,1.580467465,19.76606047,0.4680494,-0.999352487,777,999,999
Suriname,740,-0.12487729,0.05376893,0.157740818,1.823572864,-0.575592702,-0.392673633,3.780445738,-0.270910757,0.133840677,1.807423798
"Svalbard, Jan Mayen Island",744,999,777,999,999,777,999,999,999,999,999
Swaziland,748,-0.46485842,24.6958895,-0.797795138,5.82601891,0.947271551,-0.483575383,-0.397744983,1.988813807,-0.280880199,0.483409178
Sweden,752,0.332259216,-0.271454207,0.430451849,0.275131599,0.008314551,0.155930091,-0.207910536,0.283389802,0.159623868,-0.050341747
Switzerland,756,0.081007774,0.158078832,0.130990838,0.011525774,0.041167328,0.15227209,-0.090109028,0.243070953,-0.030189568,0.098202076
Syria,760,-0.029249811,1.517820344,0.969778387,-0.916770831,5.271598788,-0.756612264,1.2705134,0.081504308,-0.194520362,-0.882415427
