id,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
670,St Vincent and the Grenadines,96250,30719,125527,52155,53880,62614,0,4053,30490,47350,20059
674,San Marino,0,0,0,55000,0,2993,96968,6340,11000,3145,0
678,Sao Tome and Principe,0,0,0,0,160183,0,0,0,64800,72000,69666
682,Saudi Arabia,60658341,26576967,53554542,39051034,49422061,76600077,105962956,49990043,62687095,62502433,81426545
686,Senegal,103263,661039,112918,153179,500558,151285,301020,1612209,145578,2283599,1112434
688,Serbia,1513266,119606,770869,821157,2252597,1669076,3158023,590913,1031950,2043370,1975076
690,Seychelles,108915,15263,44895,16304,0,16293,10704,34021,22816,12776,59792
694,Sierra Leone,47007,174206,299500,0,27373,893802,1173162,0,0,677060,254310
702,Singapore,57290625,42129373,65374347,98665511,86402413,82026542,101229786,111638169,121304911,138856076,132466425
703,Slovakia,1034634,1616861,1847172,8446792,5734489,9279597,18664076,6564097,5667096,12147407,14645332
704,Vietnam,3149550,4817000,3842690,5839565,6863032,15373015,38252481,39422280,46838422,41190922,49790283
705,Slovenia,445382,1386067,1823346,1909783,1783435,3743970,2262526,607711,296471,399627,375776
706,Somalia,0,18088,0,0,78480,0,0,0,0,0,0
710,South Africa,36063254,36294547,61196202,37649763,62469040,75197277,107977420,64253172,58226746,76174406,143383692
716,Zimbabwe,320181,247593,101078,135728,8972,10000,145307,53881,378412,383909,252823
724,Spain,28010665,37736011,54128712,48253694,57888441,57274267,69441744,41465641,55555806,52262528,60897675
728,South Sudan,0,0,0,0,0,0,0,0,0,0,137433
729,Sudan,0,0,0,0,0,179496,237959,257701,323903,263164,200700
740,Suriname,22521,46432,63146,356287,98463,152156,693894,400177,555416,60193,101922
748,Swaziland,18760,0,3694,0,0,0,2966,29160,2824,266827,0
752,Sweden,28563400,26516506,28273358,20291293,24522713,24855069,31170439,26239441,32970597,37745320,54653799
756,Switzerland,25619290,37768669,17241343,43633108,23374860,21411662,32995437,35864978,35023071,35109084,52315342
760,Syria,140060,134733,450167,90269,26417,36107,82364,104721,89254,12600,0
762,Tajikistan,67219,0,535965,294414,253325,0,0,25256,141900,0,2800
764,Thailand,25173434,21299721,22315962,34059534,33799452,46685060,96674157,73659966,82694487,52824104,51492994
768,Togo,170625,37120,0,19247,79300,0,180000,2869,3710,147860,30544
772,Tokelau,20604,24182,1412004,48702,4993793,11236694,1511247,0,2996,0,15380
776,Tonga,0,0,0,0,6989,0,0,0,14683,0,131720
780,Trinidad and Tobago,1864595,2263511,2088246,2967936,4831352,8426900,13858191,7265559,6136886,6164683,7158338
784,United Arab Emirates,13704020,18234766,19943697,19510457,25997689,36282651,57503676,30561113,21098536,36326078,51959487
788,Tunisia,35173,365615,282813,240353,387012,116380,303876,900851,4628811,1297927,95712
792,Turkey,8725903,11218067,12751630,16255269,47356353,51443787,59007004,31113145,25787971,51968807,46525266
795,Turkmenistan,4000,5974025,18771361,34768458,1126876,1657661,819465,1406387,206650,747179,529456
796,Turks and Caicos Islands,17303,20583,122248,48071,233509,21206,9905,82692,9682,9543,7703
798,Tuvalu,0,0,0,0,0,0,0,0,0,0,0
800,Uganda,90810,78203,284665,87505,112267,251685,116105,237408,80965,268729,198292
804,Ukraine,3258467,9055008,12503985,15974258,18177815,40495124,83048905,12296826,19508682,88845183,132033048
807,Macedonia,58626,78985,188222,344442,966702,698774,632104,750772,1422005,23464,799325
818,Egypt,9037961,14718606,22195680,35094294,29760507,14930158,25598789,21671564,26180618,12054155,11982758
826,United Kingdom,191815363,210700881,254280841,256861851,245158187,268074867,332742510,255934304,363143542,373997878,376227295
834,Tanzania,472479,326074,1060996,1432952,724157,721727,1223722,754449,1117868,2467578,1036439
854,Burkina Faso,3195,9394,5632,0,179293,394207,518114,989907,301090,676997,381148
858,Uruguay,4804946,2986355,2524860,2824551,3788284,5394497,8598474,5106120,10546789,12246772,9685865
860,Uzbekistan,1989746,2858698,699881,2563306,1411619,2869270,1428580,2108024,974118,5361423,4546410
862,Venezuela,12644695,8832531,13219676,18763016,37159521,47606600,43327303,15774127,19009470,20170184,32193239
876,Wallis and Futuna,0,0,0,0,0,0,0,0,0,0,0
882,Samoa,70950,36000,9006,0,0,93960,16535,0,0,0,0
887,Yemen,1214572,721797,517460,664097,1090439,1192339,1136722,790163,901324,322955,308124
894,Zambia,128246,23615,39285,32189,84975,184545,354791,599329,1443322,2432055,1021906
